
root@jravi:/home/jravi# g++ -o main main.cpp
root@jravi:/home/jravi# ./main
Server listening on 127.0.0.1:8080
Order Book:
 Bid Price   Bid Quantity Ask Price   Ask Quantity
    120.22          22.08    182.27          37.61
    120.17          37.97    182.39          16.87
    120.16          10.24    182.47          30.60
    119.73           7.19    182.53          47.45
    119.47          33.69    183.20          42.66
    119.35          36.08    183.23          47.32
    119.14          37.52    183.46          20.18
    119.14          21.79    183.47          31.07
    119.04           6.38    183.51           7.06
    119.03          25.61    183.57          19.02
    118.98           4.19    183.58          22.83
    118.95          43.79    183.79          16.49
    118.86          41.19    183.87          49.74
    118.85          37.67    184.00          18.83
    118.82          10.96    184.08          40.69
    118.59          32.09    184.16          34.55
    118.57          31.86    184.23          18.22
    118.21          35.61    184.37           3.88
    118.14          22.28    184.49          16.99
    118.13          10.17    184.53          10.48
    118.05          17.94    184.64           5.32
    117.96          26.32    184.67          38.12
    117.91          34.59    184.85          26.43
    117.80           7.64    185.17          28.29
    117.74          15.57    185.26          23.05
    117.68          44.72    185.34          48.29
    117.54          45.49    185.35          27.48
    117.53          33.17    185.41           1.55
    117.48           2.33    185.52          45.56
    117.12           5.28    185.54          11.95
    117.11          39.49    185.57          14.06
    117.08          40.08    185.60          20.50
    117.04           1.71    185.66          12.34
    116.86          49.25    185.70           3.07
    116.84          15.06    185.87          47.20
    116.74          18.64    185.92          40.73
    116.66          18.17    185.98          45.85
    116.64          13.32    186.10          15.81
    116.22           1.27    186.16           1.18
    116.17          32.64    186.24          23.63
    116.12          40.33    186.32          36.19
    116.12          45.52    186.42           5.06
    116.08          35.10    186.51          49.20
    116.07          35.11    186.55          44.55
    116.06          47.95    186.66          22.88
    115.92           2.50    186.72           4.03
    115.81          11.20    186.88           5.31
    115.81          36.75    186.91          38.51
    115.80          16.68    186.93          46.38
    115.73          32.72    187.09          19.83
    115.61          23.06    187.16          30.90
    115.44           6.02    187.29          22.20
    115.15          17.32    187.44          30.23
    115.15          21.98    187.51           4.16
    115.08           7.03    187.64           2.86
    115.05          42.23    187.65          31.47
    114.86           8.74    187.72          12.75
    114.79          25.03    187.74          12.92
    114.66          33.87    188.05          47.03
    114.64          19.71    188.06          17.26
    114.62          23.88    188.19          15.52
    114.31          42.68    188.37           2.62
    114.30          28.85    188.91          16.53
    114.28          23.93    189.15          49.47
    114.18           6.49    189.16           8.09
    114.15           2.71    189.19          47.20
    114.13          10.57    189.21          15.35
    113.79          36.83    189.22          27.86
    113.63          28.34    189.28          25.03
    113.56          38.12    189.59          37.12
    113.54          32.05    189.68          44.76
    113.53           3.72    189.74          32.89
    113.52          28.71    189.98           8.50
    113.51          25.87    190.14           9.41
    113.44          47.40    190.21           9.07
    113.42          11.07    190.24          24.72
    113.22          35.68    190.36           3.43
    112.84          12.76    190.42          22.72
    112.84          20.76    190.60           5.64
    112.71          35.03    190.64          26.03
    112.70          20.87    190.67           1.07
    112.60          29.20    190.72           3.36
    112.53          37.59    190.77           6.14
    112.50          39.76    190.90          12.32
    112.44          13.62    191.02          12.07
    112.40          34.34    191.22          35.00
    112.21          24.76    191.33          13.94
    112.20          25.85    191.36           9.46
    112.18          30.31    191.45          32.41
    112.08          21.32    191.50          36.02
    112.00          25.80    191.51          35.10
    111.93           9.43    191.80          31.79
    111.80          42.04    191.84           4.63
    111.45          47.21    191.91          29.75
    111.35           6.46    191.93          32.78
    111.27          39.97    191.95           5.24
    111.23          29.33    192.08          20.33
    110.88          40.38    192.29          28.79
    110.82          38.18    192.33          36.21
    110.74          33.62    192.50          15.56
    110.47          48.86    192.53          34.82
    110.30          36.12    192.67           4.85
    109.92           3.92    192.77          33.61
    109.85          48.38    192.83          45.60
    109.83           7.80    192.85          39.15
    109.81          38.67    192.97          29.06
    109.57           4.57    193.04           7.85
    109.57           1.17    193.13          37.22
    109.51          30.35    193.15          23.85
    109.38          29.12    193.26          46.94
    109.22          15.90    193.65          18.63
    109.13          26.09    193.84          39.43
    109.10          10.08    193.91           7.91
    108.97          38.20    193.99          38.82
    108.90          34.89    194.07          28.94
    108.83          12.71    194.30          39.20
    108.83          19.10    194.36          22.44
    108.79          10.39    194.51          48.33
    108.54          18.77    194.71          31.05
    108.49          45.33    194.75          40.69
    108.39           6.37    195.05          47.48
    108.33          40.47    195.08          22.05
    108.05          30.37    195.14          11.47
    107.84          40.60    195.23           6.48
    107.84          44.07    195.27          41.09
    107.71          38.58    195.35           9.12
    107.55           3.63    195.41          42.76
    107.53          14.12    195.54          24.19
    107.49          30.16    195.54           5.03
    107.48          17.03    195.55          16.61
    107.34           7.07    195.71           1.63
    107.27          45.84    195.75           2.72
    107.20          46.69    195.83           2.25
    106.82          21.16    195.86          45.10
    106.80           7.56    195.87          33.74
    106.78          20.84    195.93           3.57
    106.67          34.38    195.99           8.25
    106.64           2.75    196.06          49.40
    106.33          36.48    196.08          35.30
    106.32          47.42    196.09          37.88
    105.93          35.82    196.18           2.40
    105.74           3.40    196.30          15.91
    105.69          31.11    196.30          29.72
    105.61          15.79    196.43          46.31
    105.53          11.11    196.50           6.36
    105.49          11.89    196.54          11.78
    105.39          18.74    196.64          43.97
    105.18          10.17    196.70          20.44
    105.17          34.87    196.79          31.84
    104.60           5.47    196.82          12.31
    104.51          20.87    196.83          24.65
    104.50          15.42    196.85           2.15
    104.37          18.72    196.98          17.51
    104.21          12.33    197.17          48.35
    103.93          21.26    197.55          29.10
    103.89          23.20    197.61           2.83
    103.47          36.63    197.61          35.12
    103.21          13.90    197.67          34.33
    102.87           8.83    197.74          42.86
    102.68           2.95    197.87          31.13
    102.66           5.76    197.99           5.23
    102.42          44.27    198.07           9.07
    102.38          39.13    198.17          11.14
    102.37          11.04    198.18          25.46
    102.21           7.75    198.27          16.47
    102.16           1.26    198.29          23.37
    102.10           2.51    198.36          37.60
    102.08          10.86    198.51          42.17
    102.03          24.42    198.54          27.99
    101.87          37.68    198.61          32.18
    101.81          48.91    198.64          22.36
    101.79          26.17    198.64          39.29
    101.70          28.10    198.72          22.60
    101.68          30.97    198.73          22.31
    101.64          49.84    198.78          33.41
    101.44         15.81    198.83           1.24
    101.26           3.43    198.90          11.83
    101.08          41.88    198.92          33.20
    100.81          36.04    198.93          30.18
    100.74           4.52    198.94           5.60
    100.71          37.67    198.94          47.38
    100.55          40.99    199.07           3.58
    100.47          45.88    199.08          41.90
    100.46           1.97    199.20          41.17
    100.31          43.55    199.36          15.53
    100.20          24.77    199.57          11.64
    100.17          21.71    199.70           2.80
    100.14          36.38    199.70          21.99
    100.04          40.24    199.79          26.89
